BRAND-NAME,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
Akenocet T20 2511,0.3,19.2,0.3,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,1.4,,0.1,0.1,0.1,,,,0.3,,0.3,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
Akenocet T20 3056,0.7,18.8,0.7,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,,,,0.7,,0.7,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,
Akenocet T20 3057,0.7,18.8,0.7,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,,,,0.7,,0.7,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,
Akenocet T21 1539,0.5,20.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,0.1,0.1,0.1,,,,0.5,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Akenocet T21 1540,0.5,20.2,0.5,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,,0.1,0.1,0.1,,,,0.5,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,
Akenocet T22 2085,0.4,21.5,0.4,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.7,,0.1,0.1,0.1,,,,0.4,,0.4,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,
Akenocet T25 3949,0.6,24.6,0.6,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2,0.1,0.1,0.1,0.1,,,,0.6,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,
Akenocet T25 3950,0.6,24.6,0.6,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2,0.1,0.1,0.1,0.1,,,,0.6,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,
Akenocet T26 3646,0.6,25.7,0.6,0.1,0.1,0.33,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,,,,0.6,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,
Akenocet T26 3647,0.6,25.7,0.6,0.1,0.1,0.33,0.13,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,,,,0.6,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,
Akenocet T27 1502 HFlower,2.4,24.3,2.4,0.1,0.3,0.3,0.7,0.1,0.1,0.1,0.2,0.1,0.1,0.3,,0.1,0.1,,,,,2.4,,2.4,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,
Albivex DC Pure Vape T391 I 8398,78.22,0,78.22,0,0,0,1.72,0,0,0,0,0,2,0,0,0,0,0,,,,78.22,,78.22,,,,,,78.22,,,,,,,,,,,,,,,,,,,,,
Albivex Flower 2g T30 I 12551,0.33,29.9,0.33,0.1,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,,,,0.33,,0.33,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,
Albivex Flower 7g T30 I 12552,0.33,29.8,0.33,0.1,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,,,,0.33,,0.33,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,
Albivex Flower SC T28 6903,0.38,27.45,0.38,0,0,0.16,0.1,0.1,0.15,0.18,0,0,0,2.26,0,0,0,0,,,,0.38,,0.38,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
